CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9912133961613976
C0001,C0070,0.9485918178396558
C0001,C0118,0.9365419267922227
C0002,C0029,0.9969577597373356
C0002,C0027,0.9807956511452878
C0002,C0176,0.9616850738400475
C0003,C0142,0.9834629357657123
C0003,C0151,0.9711575688968226
C0003,C0178,0.9601958908582116
C0004,C0175,0.9840485148151344
C0004,C0109,0.9803758110895439
C0004,C0108,0.9794088085668062
C0005,C0131,0.9857261213177858
C0005,C0192,0.9647092094561946
C0005,C0120,0.9608497645387486
C0006,C0066,0.9519659131329293
C0006,C0187,0.918977223013749
C0006,C0044,0.9121932579402143
C0007,C0125,0.9981882095262541
C0007,C0074,0.9802423311003218
C0007,C0133,0.9791344098356817
C0008,C0090,0.9810711061006823
C0008,C0017,0.958618318120973
C0008,C0181,0.888372081385302
C0009,C0128,0.976997476005009
C0009,C0186,0.9445031543787855
C0009,C0130,0.9433844538438421
C0010,C0060,0.9744044310071869
C0010,C0025,0.9494297201267581
C0010,C0121,0.9459180933060715
C0011,C0118,0.9534598718344091
C0011,C0107,0.9407127331455647
C0011,C0079,0.9391984157223814
C0012,C0046,0.9787243888705183
C0012,C0057,0.9753468932331413
C0012,C0105,0.9722335168839692
C0013,C0054,0.9908579807285142
C0013,C0059,0.9815563199958257
C0013,C0126,0.9809096349752743
C0014,C0063,0.9930378231055783
C0014,C0097,0.9792901525054675
C0014,C0178,0.9769839418786277
C0015,C0058,0.9986721818659352
C0015,C0186,0.9942699020751485
C0015,C0080,0.9746239293563796
C0016,C0187,0.9428379513112655
C0016,C0044,0.9059184079868782
C0016,C0050,0.8654751286315647
C0017,C0090,0.9955287254972895
C0017,C0008,0.958618318120973
C0017,C0075,0.9324784117936821
C0018,C0182,0.9869435078834162
C0018,C0105,0.9611586676174009
C0018,C0057,0.9363267738741655
C0019,C0088,0.8394465975918429
C0019,C0174,0.8185287748416463
C0019,C0147,0.8054376251586032
C0020,C0167,0.996398005453189
C0020,C0080,0.9759206986782041
C0020,C0123,0.9680903757539613
